time;logger;level;message;exception
2012-05-07 03:02:48.3650;Raven.Database.Impl.DocumentCacher;Info;"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3178233856
  PollingInterval     = 00:02:00";
2012-05-07 03:02:48.4140;Raven.Storage.Esent.TransactionalStorage;Info;"Esent Settings:
  MaxVerPages      = 32768
  CacheSizeMax     = 262144
  DatabasePageSize = 4096";
2012-05-07 03:02:52.3252;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Backup/Status' was not found;
2012-05-07 03:02:52.4402;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work;
2012-05-07 03:02:52.4402;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work;
2012-05-07 03:02:52.8462;Raven.Database.Server.HttpServer;Debug;Request #   1: GET     -    78 ms - <default>  - 200 - /databases/?pageSize=1024&noCache=-1441029703;
2012-05-07 03:02:53.2052;Raven.Database.Server.HttpServer;Debug;Request #   2: GET     -   434 ms - <default>  - 200 - /stats?noCache=-2100311849;
2012-05-07 03:03:12.6143;Raven.Database.Storage.IndexDefinitionStorage;Info;"New index Raven%2fDocumentsByEntityName:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
";
2012-05-07 03:03:12.6993;Raven.Database.Indexing.IndexStorage;Info;Creating index Raven/DocumentsByEntityName with encoded name Raven/DocumentsByEntityName;
2012-05-07 03:03:12.9694;Raven.Database.Indexing.Index.Indexing;Debug;Creating index for Raven/DocumentsByEntityName;
2012-05-07 03:03:12.9994;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 1 because: PUT INDEX Raven/DocumentsByEntityName;
2012-05-07 03:03:13.0514;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work;
2012-05-07 03:03:13.0644;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 1, for: IndexingExecuter, will wait for additional work;
2012-05-07 03:03:14.1444;Raven.Database.Server.HttpServer;Debug;Request #   3: GET     -    16 ms - <default>  - 200 - /docs?pageSize=0&noCache=1066488427;
2012-05-07 03:03:14.1654;Raven.Database.Server.HttpServer;Debug;Request #   4: GET     -     5 ms - <default>  - 200 - /license/status?noCache=-119917160;
2012-05-07 03:03:14.1794;Raven.Database.Server.HttpServer;Debug;Request #   5: GET     -    19 ms - <default>  - 200 - /build/version?noCache=-2129620138;
2012-05-07 03:03:21.0948;Raven.Database.Server.HttpServer;Debug;Request #   6: GET     -   115 ms - <default>  - 200 - /terms/Raven/DocumentsByEntityName?field=Tag&fromValue=&pageSize=100&noCache=1530395842;
