TargetResistedSpell             = Cíl odolal kouzlu!
ForbiddenMagicIn                = Zde je zakázáno kouzlit
ForbiddenMagicOut               = Odtud je zakázáno kouzlit
ForbiddenHarmfulMagicIn         = Zde je zakázáno kouzlit škodlivá kouzla
ForbiddenHarmfulMagicOut        = Odtud je zakázáno kouzlit škodlivá kouzla
ForbiddenBeneficialMagicIn      = Zde je zakázáno kouzlit přínosná kouzla
ForbiddenBeneficialMagicOut     = Odtud je zakázáno kouzlit přínosná kouzla
ForbiddenTeleportingIn          = Zde je zakázáno kouzlit teleportovací kouzla
ForbiddenTeleportingOut         = Odtud je zakázáno kouzlit teleportovací kouzla
ForbiddenEnemyTeleportingIn     = Zde je nepřátelům zakázáno kouzlit teleportovací kouzla
ForbiddenEnemyTeleportingOut    = Odtud je nepřátelům zakázáno kouzlit teleportovací kouzla
